id,venue_id,event_id,event_name,start_time,end_time,attendee_count,booking_notes,created_at,updated_at
1,3,1,"Introduction to AI Workshop","2024-05-10 14:00:00","2024-05-10 16:00:00",30,"Requires computers with Python installed","2024-04-01 09:15:00","2024-04-01 09:15:00"
2,7,2,"Campus Spring Festival","2024-05-15 12:00:00","2024-05-15 20:00:00",500,"Set up tents and staging area, PA system needed","2024-04-02 11:30:00","2024-04-02 11:30:00"
3,5,3,"Research Symposium","2024-05-20 09:00:00","2024-05-20 17:00:00",200,"Poster boards and projection needed","2024-04-03 14:45:00","2024-04-03 14:45:00"
4,8,4,"Basketball Tournament","2024-05-25 10:00:00","2024-05-27 18:00:00",100,"Scoreboard and referee equipment required","2024-04-04 08:20:00","2024-04-04 08:20:00"
5,2,5,"Cultural Dance Showcase","2024-05-30 18:00:00","2024-05-30 21:00:00",150,"Special lighting and sound equipment needed","2024-04-05 15:10:00","2024-04-05 15:10:00"
6,4,6,"Web Development Bootcamp","2024-06-05 09:00:00","2024-06-07 17:00:00",25,"Each station needs dual monitors","2024-04-06 10:30:00","2024-04-06 10:30:00"
7,6,7,"Alumni Networking Night","2024-06-10 18:00:00","2024-06-10 21:00:00",120,"Catering and reception setup required","2024-04-07 13:45:00","2024-04-07 13:45:00"
8,1,8,"Environmental Science Lecture","2024-06-15 15:00:00","2024-06-15 17:00:00",80,"Recording equipment needed","2024-04-08 09:20:00","2024-04-08 09:20:00"
9,10,9,"Creative Writing Workshop","2024-06-20 14:00:00","2024-06-20 17:00:00",20,"Circular seating arrangement","2024-04-09 11:15:00","2024-04-09 11:15:00"
10,9,10,"Yoga and Meditation Session","2024-06-25 08:00:00","2024-06-25 09:30:00",30,"Yoga mats and equipment required","2024-04-10 16:30:00","2024-04-10 16:30:00"
